"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpyWithStream",204,4666970143,22877304,48.483029192170285
"hipLaunchKernel",653,4603385962,7049595,47.8224820686351
"hipStreamCreateWithFlags",1,261947776,261947776,2.721256250092124
"hipStreamSynchronize",410,57078591,139216,0.5929635092805752
"hipFree",412,34828309,84534,0.36181545418576017
"hipMalloc",412,1550597,3763,0.016108446660849287
"hipGetLastError",1681,84413,50,0.0008769282463349734
"__hipPopCallConfiguration",653,48567,74,0.0005045404634327729
"__hipPushCallConfiguration",653,44160,67,0.00045875814576134513
"hipEventRecord",3,20820,6940,0.00021628950622172113
"hipPeekAtLastError",211,12325,58,0.00012803881672347324
"hipEventSynchronize",1,5200,5200,5.4020433830593175e-05
"hipEventCreate",2,2906,1453,3.0189111675327648e-05
"hipEventDestroy",2,2716,1358,2.8215288131517513e-05
"hipGetDeviceProperties",2,2365,1182,2.4568908847952472e-05
"hipEventElapsedTime",1,1042,1042,1.0824863856053478e-05
"hipSetDevice",1,621,621,6.451286424768916e-06
"hipEventCreateWithFlags",1,602,602,6.253904070387902e-06
