"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpyWithStream",47,1071497849,22797826,80.31627536348843
"hipLaunchKernel",177,145418706,821574,10.900151451538907
"hipStreamCreateWithFlags",1,87825983,87825983,6.5831731172211185
"hipStreamSynchronize",96,20560769,214174,1.5411737748519518
"hipFree",98,7896463,80576,0.5918952588635555
"hipMalloc",98,813450,8300,0.06097378007375698
"hipGetLastError",420,22320,53,0.0016730404711368318
"hipEventRecord",3,19217,6405,0.0014404488680034272
"__hipPopCallConfiguration",177,13190,74,0.0009886829665902693
"__hipPushCallConfiguration",177,12893,72,0.0009664207345146583
"hipEventSynchronize",1,4659,4659,0.00034922471124670696
"hipPeekAtLastError",54,3796,70,0.00028453681130983035
"hipEventDestroy",2,2906,1453,0.00021782507209335274
"hipGetDeviceProperties",2,2696,1348,0.00020208409991867823
"hipEventCreate",2,1182,591,8.859918624031071e-05
"hipEventElapsedTime",1,781,781,5.854142508771799e-05
"hipEventCreateWithFlags",1,701,701,5.2544864259270565e-05
"hipSetDevice",1,471,471,3.5304751877484216e-05
