"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,0,758078,758078,39460096,256,0,0,8,0,16,64,"0x0","0x7ffc9909ecc0",570679004754986,570679004777665,570679005030947,570679005144763,253282
1,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,2,758078,758078,936364288,256,0,0,8,0,16,64,"0x0","0x7ffc9909ecc0",570679005154502,570679005223108,570679011271329,570679011346763,6048221
2,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<float const> >, thrust::device_ptr<float>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<float>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<float const> >, thrust::device_ptr<float>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<float>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,4,758078,758078,936364288,256,0,0,8,0,16,64,"0x0","0x7ffc9909ed00",570679011388224,570679011399970,570679017409151,570679017455652,6009181
3,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,6,758078,758078,39460096,256,0,0,4,4,16,64,"0x0","0x7ffc9909eb40",570679236467279,570679236495381,570679236696503,570679236702045,201122
4,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,8,758078,758078,39460096,256,0,0,4,4,16,64,"0x0","0x7ffc9909eb40",570679236771109,570679236784183,570679236983865,570679237024812,199682
5,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,10,758078,758078,256,256,0,0,4,4,16,64,"0x0","0x7ffc9909eb40",570679237016015,570679237025466,570679237027066,570679237031084,1600
6,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,13,758078,758078,256,256,0,0,4,4,16,64,"0x0","0x7ffc9909ed40",570679497997596,570679498013725,570679498017085,570679498049838,3360
7,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,15,758078,758078,39460096,256,0,0,4,4,16,64,"0x0","0x7ffc9909ed40",570679498029117,570679498035645,570679498235006,570679498236140,199361
8,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,17,758078,758078,256,256,0,0,4,4,16,64,"0x0","0x7ffc9909ed40",570679498246620,570679498254207,570679498255327,570679498256128,1120
9,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,19,758078,758078,39460096,256,0,0,4,4,16,64,"0x0","0x7ffc9909eb40",570679498340853,570679498351808,570679498552610,570679498608703,200802
