"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",880,366574527,416561,43.34112037584513
"hsa_queue_create",2,272333346,136166673,32.19872484850176
"hsa_amd_memory_lock_to_pool",58,151357823,2609617,17.895454111760635
"hsa_amd_memory_pool_free",416,42364360,101837,5.0088554745803116
"hsa_signal_store_screlease",1280,4121628,3220,0.4873114800266899
"hsa_amd_memory_pool_allocate",435,3463292,7961,0.4094745936034487
"hsa_amd_memory_async_copy",261,1534096,5877,0.18138041382265088
"hsa_executable_load_agent_code_object",2,1235790,617895,0.1461108702440354
"hsa_amd_agents_allow_access",19,914035,48107,0.10806888652886566
"hsa_executable_freeze",2,398535,199267,0.04711989551032671
"hsa_agent_get_info",369,272618,738,0.032232380278355094
"hsa_signal_load_relaxed",4871,259780,53,0.030714508024822597
"hsa_executable_iterate_symbols",43,196820,4577,0.023270573059687362
"hsa_signal_create",83,113185,1363,0.013382175651665046
"hsa_amd_pointer_info",824,100718,122,0.01190816775442329
"hsa_queue_add_write_index_screlease",1280,73708,57,0.00871470073713767
"hsa_queue_load_read_index_scacquire",1280,72832,56,0.008611128833874352
"hsa_signal_silent_store_relaxed",880,70299,79,0.00831164523688122
"hsa_isa_get_info_alt",16,65802,4112,0.007779952486909602
"hsa_queue_load_read_index_relaxed",1277,59189,46,0.0069980792034845815
"hsa_code_object_reader_create_from_memory",2,53734,26867,0.006353119463414494
"hsa_executable_symbol_get_info",1095,52999,48,0.006266218380196985
"hsa_amd_agent_iterate_memory_pools",13,25530,1963,0.0030184825231877777
"hsa_iterate_agents",1,17384,17384,0.002055358409051952
"hsa_executable_get_symbol_by_name",43,13279,308,0.0015700129034630042
"hsa_amd_agent_memory_pool_get_info",160,11243,70,0.001329290991312189
"hsa_executable_create_alt",2,10601,5300,0.0012533855553589358
"hsa_amd_memory_pool_get_info",104,7288,70,0.0008616804006655904
"hsa_amd_signal_async_handler",3,5950,1983,0.0007034849593798385
"hsa_system_get_info",17,2315,136,0.0002737088539435842
"hsa_system_get_major_extension_table",1,2084,2084,0.00024639708493236695
"hsa_signal_destroy",3,1813,604,0.00021435600526985667
"hsa_agent_iterate_isas",8,1331,166,0.00015736781192177563
"hsa_amd_profiling_get_dispatch_time",5,1031,206,0.00012189798203707789
"hsa_amd_profiling_set_profiler_enabled",2,262,131,3.097698476596936e-05
"hsa_dispatch",661,0,0,0.0
