"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",209,122517138,586206,38.07281842113629
"hsa_queue_create",2,99884112,49942056,31.03949146553228
"hsa_amd_memory_lock_to_pool",19,82506927,4342469,25.63944360304064
"hsa_amd_memory_pool_free",100,9036054,90360,2.8079993444311624
"hsa_amd_memory_pool_allocate",119,2888461,24272,0.8976038206959565
"hsa_signal_store_screlease",329,1143288,3475,0.3552825109827824
"hsa_amd_memory_async_copy",64,1029211,16081,0.3198325080041953
"hsa_amd_agents_allow_access",19,856686,45088,0.26621949430396885
"hsa_executable_load_agent_code_object",2,516619,258309,0.16054195928008871
"hsa_executable_freeze",2,419612,209806,0.13039654487627553
"hsa_agent_get_info",369,238339,645,0.07406504606461835
"hsa_executable_iterate_symbols",43,206279,4797,0.06410223940338512
"hsa_signal_create",83,111483,1343,0.034643904398448624
"hsa_signal_load_relaxed",1161,74641,64,0.023195067124176814
"hsa_isa_get_info_alt",16,61017,3813,0.018961340425716386
"hsa_code_object_reader_create_from_memory",2,54795,27397,0.017027822551536936
"hsa_executable_symbol_get_info",1095,54454,49,0.016921855082058443
"hsa_amd_pointer_info",192,26980,140,0.008384171045541866
"hsa_amd_agent_iterate_memory_pools",13,22925,1763,0.007124059348370915
"hsa_queue_add_write_index_screlease",329,21274,64,0.006611002773271225
"hsa_queue_load_read_index_scacquire",329,19844,60,0.006166623062554959
"hsa_signal_silent_store_relaxed",209,18673,89,0.005802728907835555
"hsa_queue_load_read_index_relaxed",326,16658,51,0.0051765574972808155
"hsa_iterate_agents",1,14688,14688,0.004564370063636729
"hsa_executable_get_symbol_by_name",43,13917,323,0.004324777925900895
"hsa_executable_create_alt",2,12314,6157,0.0038266375928392342
"hsa_amd_agent_memory_pool_get_info",160,10271,64,0.003191765041095645
"hsa_amd_memory_pool_get_info",104,6526,62,0.0020279874070869616
"hsa_amd_signal_async_handler",3,5279,1759,0.0016404758691406787
"hsa_system_get_info",17,2324,136,0.0007221947186745477
"hsa_system_get_major_extension_table",1,1914,1914,0.0005947851512663873
"hsa_signal_destroy",3,1492,497,0.00046364652334871995
"hsa_agent_iterate_isas",8,1291,161,0.0004011847598144755
"hsa_amd_profiling_get_dispatch_time",5,1113,222,0.0003458703622567864
"hsa_amd_profiling_set_profiler_enabled",2,271,135,8.421461650636937e-05
"hsa_dispatch",184,0,0,0.0
