Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUInsts,SALUInsts,SFetchInsts,FlatVMemInsts,LDSInsts,FlatLDSInsts,GDSInsts,VALUUtilization,FetchSize,WriteSize,L2CacheHit,VWriteInsts,GPUBusy,VALUBusy,SALUBusy,MemUnitStalled,WriteUnitStalled,LDSBankConflict,MemUnitBusy
0,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,0,634667,634667,18520576,256,0,0,8,0,16,64,0x0,0x7ffef86becc0,289384.0000000000,13.0000138225,11.0000691123,2.0000000000,1.9999930888,1.9999930888,0.0000000000,0.0000000000,99.9996303492,72347.3125000000,72345.6562500000,34.4049730551,0.0000000000,100.0000000000,17.4677656234,14.7804942148,9.1220764782,0.4054426209,0.0000000000,40.1887985639
1,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<int const> >, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<int>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,2,634667,634667,298113792,256,0,0,8,0,16,64,0x0,0x7ffef86becc0,4658028.0000000000,13.0000008587,11.0000042937,2.0000000000,2.0000000000,2.0000000000,0.0000000000,0.0000000000,99.9999922590,1164524.0625000000,1162193.7500000000,34.4291177767,0.0000000000,100.0000000000,17.8029723851,15.0640584415,9.3492356669,0.0648374481,0.0000000000,40.3171653352
2,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<float const> >, thrust::device_ptr<float>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<float>, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::detail::normal_iterator<thrust::device_ptr<float const> >, thrust::device_ptr<float>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::identity<float>, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,4,634667,634667,298113792,256,0,0,8,0,16,64,0x0,0x7ffef86bed00,4658028.0000000000,13.0000008587,11.0000042937,2.0000000000,2.0000000000,2.0000000000,0.0000000000,0.0000000000,99.9999922590,1164524.7500000000,1162221.2500000000,34.4347464774,0.0000000000,100.0000000000,17.7553247031,15.0237411591,9.0385720077,0.0876793877,0.0000000000,39.9831773426
3,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,6,634667,634667,18520576,256,0,0,4,4,16,64,0x0,0x7ffef86beb40,289384.0000000000,11.0000103668,11.0000691123,2.9999965444,0.9999965444,0.9999965444,0.0000000000,0.0000000000,99.9996779997,1.0625000000,68249.6250000000,50.0227958802,0.0000000000,100.0000000000,17.9646939645,17.9647899048,10.8011342835,0.0000000000,0.0000000000,32.8298450598
4,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,8,634667,634667,18520576,256,0,0,4,4,16,64,0x0,0x7ffef86beb40,289384.0000000000,11.0000103668,11.0000691123,2.9999965444,0.9999965444,0.9999965444,0.0000000000,0.0000000000,99.9996779997,0.6875000000,68249.6250000000,49.9996544372,0.0000000000,100.0000000000,18.1718109833,18.1719080297,11.3566919985,0.0000000000,0.0000000000,33.5926705188
5,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,10,634667,634667,256,256,0,0,4,4,16,64,0x0,0x7ffef86beb40,4.0000000000,11.2500000000,16.0000000000,2.2500000000,0.2500000000,0.2500000000,0.0000000000,0.0000000000,35.8333333333,0.3750000000,0.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0043988270,0.0062561095,1.2009909522,0.0000000000,0.0000000000,0.0565489013
6,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,13,634667,634667,256,256,0,0,4,4,16,64,0x0,0x7ffef86bed40,4.0000000000,11.2500000000,16.0000000000,2.2500000000,0.2500000000,0.2500000000,0.0000000000,0.0000000000,35.8333333333,0.8125000000,0.0000000000,20.0000000000,0.0000000000,100.0000000000,0.0031171206,0.0044332382,1.2306317044,0.0000000000,0.0000000000,0.0417163290
7,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,15,634667,634667,18520576,256,0,0,4,4,16,64,0x0,0x7ffef86bed40,289384.0000000000,11.0000103668,11.0000691123,2.9999965444,0.9999965444,0.9999965444,0.0000000000,0.0000000000,99.9996779997,1.0625000000,68249.6250000000,50.0223643331,0.0000000000,100.0000000000,18.1618888843,18.1619858778,10.4499434230,0.0000000000,0.0000000000,32.7908245238
8,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, 1u>(thrust::hip_rocprim::__transform::unary_transform_f<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::device_ptr<int>, thrust::hip_rocprim::__transform::no_stencil_tag, thrust::hip_rocprim::fill_n<thrust::hip_rocprim::par_t, thrust::device_ptr<int>, long, int>(thrust::hip_rocprim::execution_policy<thrust::hip_rocprim::par_t>&, thrust::device_ptr<int>, long, int const&)::{lambda(long)#1}, thrust::hip_rocprim::__transform::always_true_predicate>, long, long) [clone .kd]",4,0,17,634667,634667,256,256,0,0,4,4,16,64,0x0,0x7ffef86bed40,4.0000000000,11.2500000000,16.0000000000,2.2500000000,0.2500000000,0.2500000000,0.0000000000,0.0000000000,35.8333333333,0.3750000000,0.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0044230826,0.0062906064,0.1989160517,0.0000000000,0.0000000000,0.0605396679
9,"void thrust::hip_rocprim::__parallel_for::kernel<256u, thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, 1u>(thrust::hip_rocprim::__uninitialized_fill::functor<thrust::device_ptr<int>, int>, unsigned long, unsigned long) [clone .kd]",4,0,19,634667,634667,18520576,256,0,0,4,4,16,64,0x0,0x7ffef86beb40,289384.0000000000,11.0000103668,11.0000691123,2.9999965444,0.9999965444,0.9999965444,0.0000000000,0.0000000000,99.9996819265,1.1250000000,68249.6250000000,50.0227094929,0.0000000000,100.0000000000,17.8927165592,17.8928121151,11.1004617864,0.0000000000,0.0000000000,33.1215520982
