"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",213,123649719,580515,41.14499606764084
"hsa_queue_create",2,99807714,49903857,33.21146245427554
"hsa_amd_memory_lock_to_pool",19,68850463,3623708,22.910298966310233
"hsa_amd_memory_pool_allocate",121,2954576,24417,0.9831483555700276
"hsa_signal_store_screlease",333,1085566,3259,0.36122693332739875
"hsa_amd_memory_async_copy",65,1031359,15867,0.3431893120543686
"hsa_amd_agents_allow_access",19,864314,45490,0.28760434248303407
"hsa_executable_load_agent_code_object",2,498468,249234,0.1658674525564008
"hsa_executable_freeze",2,394690,197345,0.13133485970912043
"hsa_amd_memory_pool_free",102,392229,3845,0.13051595097126503
"hsa_agent_get_info",369,244147,661,0.08124100431579878
"hsa_executable_iterate_symbols",43,197916,4602,0.06585743265395697
"hsa_signal_create",83,109841,1323,0.03655008316731991
"hsa_signal_load_relaxed",1183,71767,60,0.023880789674794005
"hsa_isa_get_info_alt",16,65276,4079,0.021720880443823115
"hsa_code_object_reader_create_from_memory",2,54323,27161,0.01807622079094618
"hsa_executable_symbol_get_info",1095,53765,49,0.017890543799591728
"hsa_amd_pointer_info",196,27454,140,0.009135441076425022
"hsa_amd_agent_iterate_memory_pools",13,23485,1806,0.007814738605661894
"hsa_queue_add_write_index_screlease",333,20738,62,0.006900662090875724
"hsa_queue_load_read_index_scacquire",333,19513,58,0.006493037871504388
"hsa_signal_silent_store_relaxed",213,17877,83,0.005948651567103159
"hsa_queue_load_read_index_relaxed",330,16344,49,0.005438538972575601
"hsa_iterate_agents",1,14778,14778,0.004917445480709878
"hsa_executable_get_symbol_by_name",43,13714,318,0.004563394730170203
"hsa_executable_create_alt",2,11702,5851,0.0038938927470068335
"hsa_amd_agent_memory_pool_get_info",160,10888,68,0.003623030612665391
"hsa_amd_memory_pool_get_info",104,6647,63,0.002211818927478587
"hsa_amd_signal_async_handler",3,4539,1513,0.0015103725156950965
"hsa_system_get_info",17,2213,130,0.0007363856305867478
"hsa_system_get_major_extension_table",1,1703,1703,0.0005666808535423549
"hsa_agent_iterate_isas",8,1394,174,0.00046385972392134047
"hsa_signal_destroy",3,1332,444,0.000443228947104179
"hsa_amd_profiling_get_dispatch_time",5,1193,238,0.0003969760764979621
"hsa_amd_profiling_set_profiler_enabled",2,241,120,8.019382601509544e-05
"hsa_dispatch",185,0,0,0.0
